no,tanggal,musim,tahun,bulan,jam,hari_libur,hari,hari_kerja,cuaca,suhu,suhu_subjek,kelembapan,kecepatan_angin,kasual,terdaftar,total
1,2011-01-01,Semi,2011,Januari,00:00,0,Sabtu,0,Cerah,10,14,81,0,3,13,16
2,2011-01-01,Semi,2011,Januari,01:00,0,Sabtu,0,Cerah,9,14,80,0,8,32,40
3,2011-01-01,Semi,2011,Januari,02:00,0,Sabtu,0,Cerah,9,14,80,0,5,27,32
4,2011-01-01,Semi,2011,Januari,03:00,0,Sabtu,0,Cerah,10,14,75,0,3,10,13
5,2011-01-01,Semi,2011,Januari,04:00,0,Sabtu,0,Cerah,10,14,75,0,0,1,1
6,2011-01-01,Semi,2011,Januari,05:00,0,Sabtu,0,Berkabut,10,13,75,6,0,1,1
7,2011-01-01,Semi,2011,Januari,06:00,0,Sabtu,0,Cerah,9,14,80,0,2,0,2
8,2011-01-01,Semi,2011,Januari,07:00,0,Sabtu,0,Cerah,8,13,86,0,1,2,3
9,2011-01-01,Semi,2011,Januari,08:00,0,Sabtu,0,Cerah,10,14,75,0,1,7,8
10,2011-01-01,Semi,2011,Januari,09:00,0,Sabtu,0,Cerah,13,17,76,0,8,6,14
11,2011-01-01,Semi,2011,Januari,10:00,0,Sabtu,0,Cerah,16,20,76,17,12,24,36
12,2011-01-01,Semi,2011,Januari,11:00,0,Sabtu,0,Cerah,15,17,81,19,26,30,56
13,2011-01-01,Semi,2011,Januari,12:00,0,Sabtu,0,Cerah,17,21,77,19,29,55,84
14,2011-01-01,Semi,2011,Januari,13:00,0,Sabtu,0,Berkabut,19,23,72,20,47,47,94
15,2011-01-01,Semi,2011,Januari,14:00,0,Sabtu,0,Berkabut,19,23,72,19,35,71,106
16,2011-01-01,Semi,2011,Januari,15:00,0,Sabtu,0,Berkabut,18,22,77,20,40,70,110
17,2011-01-01,Semi,2011,Januari,16:00,0,Sabtu,0,Berkabut,17,21,82,20,41,52,93
18,2011-01-01,Semi,2011,Januari,17:00,0,Sabtu,0,Berkabut,18,22,82,19,15,52,67
19,2011-01-01,Semi,2011,Januari,18:00,0,Sabtu,0,Hujan/Salju Ringan,17,21,88,17,9,26,35
20,2011-01-01,Semi,2011,Januari,19:00,0,Sabtu,0,Hujan/Salju Ringan,17,21,88,17,6,31,37
21,2011-01-01,Semi,2011,Januari,20:00,0,Sabtu,0,Berkabut,16,20,87,17,11,25,36
22,2011-01-01,Semi,2011,Januari,21:00,0,Sabtu,0,Berkabut,16,20,87,13,3,31,34
23,2011-01-01,Semi,2011,Januari,22:00,0,Sabtu,0,Berkabut,16,20,94,15,11,17,28
24,2011-01-01,Semi,2011,Januari,23:00,0,Sabtu,0,Berkabut,19,23,88,20,15,24,39
25,2011-01-02,Semi,2011,Januari,00:00,0,Minggu,0,Berkabut,19,23,88,20,4,13,17
26,2011-01-02,Semi,2011,Januari,01:00,0,Minggu,0,Berkabut,18,22,94,17,1,16,17
27,2011-01-02,Semi,2011,Januari,02:00,0,Minggu,0,Berkabut,17,21,100,19,1,8,9
28,2011-01-02,Semi,2011,Januari,03:00,0,Minggu,0,Berkabut,19,23,94,13,2,4,6
29,2011-01-02,Semi,2011,Januari,04:00,0,Minggu,0,Berkabut,19,23,94,13,2,1,3
